LebwohlLasher3.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.281, Time: 0.630327 s
         4278894 function calls (4091684 primitive calls) in 1.965 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    748/1    0.003    0.000    1.966    1.966 {built-in method builtins.exec}
        1    0.000    0.000    1.966    1.966 LebwohlLasher3.py:1(<module>)
       79    0.002    0.000    1.399    0.018 __init__.py:1(<module>)
        1    0.000    0.000    1.189    1.189 LebwohlLasher3.py:280(main)
        2    0.000    0.000    1.159    0.580 dispatcher.py:388(_compile_for_args)
     52/2    0.000    0.000    1.126    0.563 dispatcher.py:915(compile)
     12/2    0.000    0.000    1.126    0.563 dispatcher.py:124(compile)
     12/2    0.000    0.000    1.126    0.563 dispatcher.py:131(_compile_cached)
     12/2    0.000    0.000    1.126    0.563 dispatcher.py:146(_compile_core)
     12/2    0.000    0.000    1.125    0.563 compiler.py:736(compile_extra)
  691/300    0.001    0.000    0.967    0.003 compiler_lock.py:32(_acquire_compile_lock)
     15/2    0.000    0.000    0.899    0.450 compiler.py:454(compile_extra)
  939/172    0.002    0.000    0.899    0.005 <frozen importlib._bootstrap>:1165(_find_and_load)
     15/2    0.000    0.000    0.898    0.449 compiler.py:523(_compile_bytecode)
     15/2    0.000    0.000    0.898    0.449 compiler.py:477(_compile_core)
   805/45    0.002    0.000    0.898    0.020 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
     15/2    0.001    0.000    0.898    0.449 compiler_machinery.py:342(run)
   390/52    0.005    0.000    0.897    0.017 compiler_machinery.py:268(_runPass)
   778/46    0.001    0.000    0.895    0.019 <frozen importlib._bootstrap>:666(_load_unlocked)
   691/46    0.001    0.000    0.895    0.019 <frozen importlib._bootstrap_external>:934(exec_module)
  1974/58    0.001    0.000    0.892    0.015 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
 1170/156    0.001    0.000    0.882    0.006 compiler_machinery.py:272(check)
   646/65    0.001    0.000    0.846    0.013 {built-in method builtins.__import__}
9826/8822    0.006    0.000    0.840    0.000 <frozen importlib._bootstrap>:1207(_handle_fromlist)
     15/2    0.000    0.000    0.672    0.336 typed_passes.py:103(run_pass)
     15/2    0.000    0.000    0.672    0.336 typed_passes.py:66(type_inference_stage)
     15/2    0.000    0.000    0.669    0.334 typeinfer.py:1067(propagate)
     32/6    0.001    0.000    0.668    0.111 typeinfer.py:142(propagate)
  352/144    0.001    0.000    0.658    0.005 typeinfer.py:580(resolve)
  352/144    0.000    0.000    0.655    0.005 typeinfer.py:1519(resolve_call)
  356/144    0.000    0.000    0.655    0.005 context.py:189(resolve_function_type)
  356/144    0.001    0.000    0.654    0.005 context.py:233(_resolve_user_function_type)
   122/50    0.000    0.000    0.643    0.013 typeinfer.py:570(__call__)
    50/29    0.000    0.000    0.629    0.022 functions.py:534(get_call_type)
    50/29    0.000    0.000    0.628    0.022 dispatcher.py:348(get_call_template)
    15/10    0.000    0.000    0.587    0.059 typed_passes.py:435(run_pass)
  410/324    0.004    0.000    0.463    0.001 functions.py:281(get_call_type)
1445/1206    0.001    0.000    0.432    0.000 templates.py:349(apply)
  257/208    0.000    0.000    0.409    0.002 templates.py:607(generic)
  257/208    0.001    0.000    0.407    0.002 templates.py:698(_get_impl)
   104/85    0.000    0.000    0.401    0.005 templates.py:749(_build_impl)
    15/10    0.000    0.000    0.364    0.036 lowering.py:182(lower)
    15/10    0.000    0.000    0.321    0.032 lowering.py:233(lower_normal_function)
    15/10    0.000    0.000    0.318    0.032 lowering.py:250(lower_function_body)
    58/33    0.001    0.000    0.318    0.010 lowering.py:275(lower_block)
  896/608    0.002    0.000    0.315    0.001 lowering.py:457(lower_inst)
  406/280    0.001    0.000    0.292    0.001 lowering.py:665(lower_assign)
  216/160    0.001    0.000    0.286    0.002 lowering.py:1185(lower_expr)
     7488    0.218    0.000    0.280    0.000 ffi.py:150(__call__)
  153/103    0.000    0.000    0.254    0.002 base.py:1186(__call__)
  153/103    0.000    0.000    0.253    0.002 base.py:1215(wrapper)
      691    0.002    0.000    0.244    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
        1    0.000    0.000    0.241    0.241 pyplot.py:1(<module>)
       15    0.000    0.000    0.230    0.015 compiler.py:412(__init__)
       16    0.000    0.000    0.218    0.014 codegen.py:739(finalize)
        7    0.000    0.000    0.217    0.031 base.py:873(compile_internal)
   300/55    0.000    0.000    0.215    0.004 base.py:261(refresh)
        7    0.000    0.000    0.214    0.031 base.py:844(compile_subroutine)
        3    0.000    0.000    0.214    0.071 base.py:806(_compile_subroutine_no_cache)
3086/2973    0.016    0.000    0.209    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.205    0.205 config.py:1(<module>)
        3    0.000    0.000    0.194    0.065 compiler.py:829(compile_internal)
      300    0.002    0.000    0.193    0.001 cpu.py:60(load_additional_registries)
      691    0.001    0.000    0.190    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
    82/52    0.000    0.000    0.180    0.003 codegen.py:565(_ensure_finalized)
        1    0.000    0.000    0.174    0.174 dyliball.py:1(<module>)
        1    0.000    0.000    0.174    0.174 ffi.py:1(<module>)
        2    0.000    0.000    0.170    0.085 __init__.py:342(__init__)
        2    0.170    0.085    0.170    0.085 {built-in method _ctypes.dlopen}
       12    0.000    0.000    0.162    0.013 cpu.py:225(get_executable)
       12    0.000    0.000    0.161    0.013 codegen.py:975(get_pointer_to_function)
    50/41    0.000    0.000    0.144    0.004 lowering.py:915(lower_call)
    50/41    0.000    0.000    0.143    0.003 lowering.py:1157(_lower_call_normal)
      100    0.000    0.000    0.133    0.001 artist.py:159(_update_set_signature_and_docstring)
       16    0.000    0.000    0.133    0.008 codegen.py:781(_finalize_final_module)
       99    0.000    0.000    0.131    0.001 artist.py:126(__init_subclass__)
        1    0.000    0.000    0.125    0.125 figure.py:1(<module>)
    67/57    0.001    0.000    0.124    0.002 lowering.py:741(lower_binop)
       16    0.000    0.000    0.105    0.007 codegen.py:996(_finalize_specific)
      691    0.105    0.000    0.105    0.000 {method 'read' of '_io.BufferedReader' objects}
      112    0.000    0.000    0.104    0.001 artist.py:1841(kwdoc)
      427    0.000    0.000    0.100    0.000 pprint.py:57(pformat)
       30    0.000    0.000    0.100    0.003 codegen.py:723(add_ir_module)
      427    0.000    0.000    0.100    0.000 pprint.py:156(pformat)
 9880/427    0.006    0.000    0.099    0.000 pprint.py:168(_format)
        4    0.000    0.000    0.094    0.023 numbers.py:206(int_power_impl)
       32    0.000    0.000    0.093    0.003 codegen.py:1058(wrapper)
       16    0.000    0.000    0.093    0.006 executionengine.py:87(finalize_object)
        1    0.000    0.000    0.092    0.092 colorbar.py:1(<module>)
        1    0.000    0.000    0.091    0.091 __init__.py:13(_ensure_critical_deps)
      112    0.002    0.000    0.090    0.001 artist.py:1602(pprint_setters)
      691    0.084    0.000    0.084    0.000 {built-in method io.open_code}
        3    0.000    0.000    0.081    0.027 decorators.py:1(<module>)
        1    0.000    0.000    0.077    0.077 randomimpl.py:365(_impl)
        1    0.000    0.000    0.076    0.076 stencil.py:1(<module>)
     4050    0.006    0.000    0.074    0.000 artist.py:1474(get_valid_values)
 1017/638    0.001    0.000    0.074    0.000 functools.py:981(__get__)
      135    0.001    0.000    0.072    0.001 postproc.py:71(run)
